keyword,volume,cpc,ads_competition,intent,cluster,relevance,business_value,priority,coverage,existing_route,brand_category_gap,recommended_action,target_url,trend_change
parker hydraulic valve,320,1.16,0.83,Product research,"Hydraulic Valves",5,4,A,dedicated,/brands/parker/hydraulic-valves/,"parker ? valve","Optimize existing page",/brands/parker/hydraulic-valves/,0.035
parker replacement,10,0,0,Commercial,"Replacement & Cross-reference",2,1,D,title-partial,/brands/parker/,,"Optimize title/H1",/brands/parker/,0.091
parker parts,140,0.99,0.92,Commercial,"Brand Coverage",2,1,D,unmentioned,/brands/parker/hydraulic-repair-kits/,"parker ? parts","Add keyword coverage + internal links",/brands/parker/hydraulic-repair-kits/,0.127
danfoss sundstrand hydraulic pump,0,0,0,Product research,"Hydraulic Pumps",5,4,C,unmentioned,/brands/danfoss-sundstrand/hydraulic-pumps/,"danfoss sundstrand ? pump","Add keyword coverage + internal links",/brands/danfoss-sundstrand/hydraulic-pumps/,0.000
danfoss sundstrand hydraulic motor,0,0,0,Product research,"Hydraulic Motors",5,4,C,unmentioned,/brands/danfoss-sundstrand/hydraulic-motors/,"danfoss sundstrand ? motor","Add keyword coverage + internal links",/brands/danfoss-sundstrand/hydraulic-motors/,0.000
danfoss sundstrand hydraulic valve,0,0,0,Product research,"Hydraulic Valves",5,4,C,unmentioned,/brands/danfoss-sundstrand/hydraulic-valves/,"danfoss sundstrand ? valve","Add keyword coverage + internal links",/brands/danfoss-sundstrand/hydraulic-valves/,0.000
danfoss sundstrand replacement,0,0,0,Commercial,"Replacement & Cross-reference",4,5,B,body-partial,/brands/danfoss-sundstrand/,,"Optimize title/H1",/brands/danfoss-sundstrand/,0.000
danfoss sundstrand parts,0,0,0,Commercial,"Brand Coverage",4,5,B,unmentioned,/brands/danfoss-sundstrand/hydraulic-repair-kits/,"danfoss sundstrand ? parts","Add keyword coverage + internal links",/brands/danfoss-sundstrand/hydraulic-repair-kits/,0.000
denison hydraulic pump,50,1.89,0.69,Product research,"Hydraulic Pumps",5,4,B,dedicated,/brands/denison/hydraulic-pumps/,"denison ? pump","Optimize existing page",/brands/denison/hydraulic-pumps/,-0.130
denison hydraulic motor,10,0,0.78,Product research,"Hydraulic Motors",5,4,B,dedicated,/brands/denison/hydraulic-motors/,"denison ? motor","Optimize existing page",/brands/denison/hydraulic-motors/,-0.077
denison hydraulic valve,10,0,0.19,Product research,"Hydraulic Valves",5,4,B,brand-category-gap,/products/hydraulic-valves/,"denison ? valve","Create brand?category page",/brands/denison/valve/,-0.077
denison replacement,0,0,0,Commercial,"Replacement & Cross-reference",2,1,D,title-partial,/brands/denison/,,"Optimize title/H1",/brands/denison/,0.000
denison parts,10,0,0.35,Commercial,"Brand Coverage",2,1,D,unmentioned,/brands/denison/hydraulic-repair-kits/,"denison ? parts","Add keyword coverage + internal links",/brands/denison/hydraulic-repair-kits/,0.000
kawasaki hydraulic pump,90,1.83,0.77,Product research,"Hydraulic Pumps",5,4,B,dedicated,/brands/kawasaki/hydraulic-pumps/,"kawasaki ? pump","Optimize existing page",/brands/kawasaki/hydraulic-pumps/,-0.294
kawasaki hydraulic motor,20,1.37,0.41,Product research,"Hydraulic Motors",5,4,B,dedicated,/brands/kawasaki/hydraulic-motors/,"kawasaki ? motor","Optimize existing page",/brands/kawasaki/hydraulic-motors/,-0.294
kawasaki hydraulic valve,10,0,0,Product research,"Hydraulic Valves",5,4,B,brand-category-gap,/products/hydraulic-valves/,"kawasaki ? valve","Create brand?category page",/brands/kawasaki/valve/,-1.000
kawasaki replacement,0,0,0,Commercial,"Replacement & Cross-reference",2,1,D,body-partial,/brands/kawasaki/,,"Optimize title/H1",/brands/kawasaki/,0.000
kawasaki parts,6600,0.46,0.75,Commercial,"Brand Coverage",2,1,D,brand-category-gap,/brands/kawasaki/,"kawasaki ? parts","Create brand?category page",/brands/kawasaki/parts/,0.172
yuken hydraulic pump,10,1.4,0.67,Product research,"Hydraulic Pumps",5,4,B,dedicated,/brands/yuken/hydraulic-pumps/,"yuken ? pump","Optimize existing page",/brands/yuken/hydraulic-pumps/,0.500
yuken hydraulic motor,10,0,0,Product research,"Hydraulic Motors",5,4,B,brand-category-gap,/products/hydraulic-motors/,"yuken ? motor","Create brand?category page",/brands/yuken/motor/,-1.000
yuken hydraulic valve,20,0,0.73,Product research,"Hydraulic Valves",5,4,B,dedicated,/brands/yuken/hydraulic-valves/,"yuken ? valve","Optimize existing page",/brands/yuken/hydraulic-valves/,-0.455
yuken replacement,0,0,0,Commercial,"Replacement & Cross-reference",4,5,B,title-partial,/brands/yuken/,,"Optimize title/H1",/brands/yuken/,0.000
yuken parts,0,0,0,Commercial,"Brand Coverage",4,5,B,brand-category-gap,/brands/yuken/,"yuken ? parts","Create brand?category page",/brands/yuken/parts/,0.000
nachi hydraulic pump,40,1.39,1,Product research,"Hydraulic Pumps",5,4,B,dedicated,/brands/nachi/hydraulic-pumps/,"nachi ? pump","Optimize existing page",/brands/nachi/hydraulic-pumps/,0.091
nachi hydraulic motor,10,0,1,Product research,"Hydraulic Motors",5,4,B,brand-category-gap,/products/hydraulic-motors/,"nachi ? motor","Create brand?category page",/brands/nachi/motor/,0.000
nachi hydraulic valve,30,1.57,0.82,Product research,"Hydraulic Valves",5,4,B,dedicated,/brands/nachi/hydraulic-valves/,"nachi ? valve","Optimize existing page",/brands/nachi/hydraulic-valves/,-0.400
nachi replacement,0,0,0,Commercial,"Replacement & Cross-reference",2,1,D,title-partial,/brands/nachi/,,"Optimize title/H1",/brands/nachi/,0.000
nachi parts,10,0,0,Commercial,"Brand Coverage",2,1,D,brand-category-gap,/brands/nachi/,"nachi ? parts","Create brand?category page",/brands/nachi/parts/,0.000
linde hydraulic pump,40,1.86,0.76,Product research,"Hydraulic Pumps",5,4,B,dedicated,/brands/linde/hydraulic-pumps/,"linde ? pump","Optimize existing page",/brands/linde/hydraulic-pumps/,-0.520
linde hydraulic motor,30,1.77,0.54,Product research,"Hydraulic Motors",5,4,A,dedicated,/brands/linde/hydraulic-motors/,"linde ? motor","Optimize existing page",/brands/linde/hydraulic-motors/,0.455
linde hydraulic valve,0,0,0,Product research,"Hydraulic Valves",5,4,C,brand-category-gap,/products/hydraulic-valves/,"linde ? valve","Create brand?category page",/brands/linde/valve/,0.000
linde replacement,0,0,0,Commercial,"Replacement & Cross-reference",2,1,D,title-partial,/brands/linde/,,"Optimize title/H1",/brands/linde/,0.000
linde parts,40,1.8,0.39,Commercial,"Brand Coverage",2,1,D,brand-category-gap,/brands/linde/,"linde ? parts","Create brand?category page",/brands/linde/parts/,-0.415
atos hydraulic pump,10,0,0.64,Product research,"Hydraulic Pumps",5,4,B,dedicated,/brands/atos/hydraulic-pumps/,"atos ? pump","Optimize existing page",/brands/atos/hydraulic-pumps/,-0.077
atos hydraulic motor,0,0,0,Product research,"Hydraulic Motors",5,4,C,brand-category-gap,/products/hydraulic-motors/,"atos ? motor","Create brand?category page",/brands/atos/motor/,0.000
atos hydraulic valve,170,2.17,0.55,Product research,"Hydraulic Valves",5,4,A,dedicated,/brands/atos/hydraulic-valves/,"atos ? valve","Optimize existing page",/brands/atos/hydraulic-valves/,0.120
atos replacement,0,0,0,Commercial,"Replacement & Cross-reference",4,5,B,title-partial,/brands/atos/,,"Optimize title/H1",/brands/atos/,0.000
atos parts,0,0,0,Commercial,"Brand Coverage",4,5,B,brand-category-gap,/brands/atos/,"atos ? parts","Create brand?category page",/brands/atos/parts/,0.000
hawe hydraulic pump,20,1.37,0.51,Product research,"Hydraulic Pumps",5,4,B,dedicated,/brands/hawe/hydraulic-pumps/,"hawe ? pump","Optimize existing page",/brands/hawe/hydraulic-pumps/,-0.143
hawe hydraulic motor,0,0,0,Product research,"Hydraulic Motors",5,4,C,brand-category-gap,/products/hydraulic-motors/,"hawe ? motor","Create brand?category page",/brands/hawe/motor/,0.000
hawe hydraulic valve,110,1.49,0.91,Product research,"Hydraulic Valves",5,4,A,dedicated,/brands/hawe/hydraulic-valves/,"hawe ? valve","Optimize existing page",/brands/hawe/hydraulic-valves/,-0.015
hawe replacement,0,0,0,Commercial,"Replacement & Cross-reference",2,1,D,title-partial,/brands/hawe/,,"Optimize title/H1",/brands/hawe/,0.000
hawe parts,10,0,0.12,Commercial,"Brand Coverage",2,1,D,brand-category-gap,/brands/hawe/,"hawe ? parts","Create brand?category page",/brands/hawe/parts/,0.091
moog hydraulic pump,10,0,0.54,Product research,"Hydraulic Pumps",5,4,B,dedicated,/brands/moog/hydraulic-pumps/,"moog ? pump","Optimize existing page",/brands/moog/hydraulic-pumps/,-0.143
moog hydraulic motor,0,0,0,Product research,"Hydraulic Motors",5,4,C,brand-category-gap,/products/hydraulic-motors/,"moog ? motor","Create brand?category page",/brands/moog/motor/,0.000
moog hydraulic valve,10,0,0.65,Product research,"Hydraulic Valves",5,4,B,dedicated,/brands/moog/hydraulic-valves/,"moog ? valve","Optimize existing page",/brands/moog/hydraulic-valves/,0.000
moog replacement,0,0,0,Commercial,"Replacement & Cross-reference",2,1,D,title-partial,/brands/moog/,,"Optimize title/H1",/brands/moog/,0.000
moog parts,30,0.29,0.61,Commercial,"Brand Coverage",2,1,D,unmentioned,/brands/moog/hydraulic-repair-kits/,"moog ? parts","Add keyword coverage + internal links",/brands/moog/hydraulic-repair-kits/,0.263
poclain hydraulic pump,10,0,0.26,Product research,"Hydraulic Pumps",5,4,B,dedicated,/brands/poclain/hydraulic-pumps/,"poclain ? pump","Optimize existing page",/brands/poclain/hydraulic-pumps/,-0.143
poclain hydraulic motor,110,2.68,0.76,Product research,"Hydraulic Motors",5,4,A,dedicated,/brands/poclain/hydraulic-motors/,"poclain ? motor","Optimize existing page",/brands/poclain/hydraulic-motors/,-0.217
poclain hydraulic valve,0,0,0,Product research,"Hydraulic Valves",5,4,C,dedicated,/brands/poclain/hydraulic-valves/,"poclain ? valve","Optimize existing page",/brands/poclain/hydraulic-valves/,0.000
poclain replacement,0,0,0,Commercial,"Replacement & Cross-reference",2,1,D,title-partial,/brands/poclain/,,"Optimize title/H1",/brands/poclain/,0.000
poclain parts,40,1.23,0.92,Commercial,"Brand Coverage",2,1,D,unmentioned,/brands/poclain/hydraulic-repair-kits/,"poclain ? parts","Add keyword coverage + internal links",/brands/poclain/hydraulic-repair-kits/,-0.294
bucher hydraulic pump,590,0.72,1,Product research,"Hydraulic Pumps",5,4,A,dedicated,/brands/bucher/hydraulic-pumps/,"bucher ? pump","Optimize existing page",/brands/bucher/hydraulic-pumps/,-0.068
bucher hydraulic motor,30,0.46,1,Product research,"Hydraulic Motors",5,4,B,dedicated,/brands/bucher/hydraulic-motors/,"bucher ? motor","Optimize existing page",/brands/bucher/hydraulic-motors/,-0.172
bucher hydraulic valve,140,1.16,1,Product research,"Hydraulic Valves",5,4,A,dedicated,/brands/bucher/hydraulic-valves/,"bucher ? valve","Optimize existing page",/brands/bucher/hydraulic-valves/,-0.083
bucher replacement,0,0,0,Commercial,"Replacement & Cross-reference",2,1,D,body-partial,/brands/bucher/,,"Optimize title/H1",/brands/bucher/,0.000
bucher parts,10,0,0.09,Commercial,"Brand Coverage",2,1,D,unmentioned,/brands/bucher/hydraulic-repair-kits/,"bucher ? parts","Add keyword coverage + internal links",/brands/bucher/hydraulic-repair-kits/,0.000
casappa hydraulic pump,260,0.95,1,Product research,"Hydraulic Pumps",5,4,B,dedicated,/brands/casappa/hydraulic-pumps/,"casappa ? pump","Optimize existing page",/brands/casappa/hydraulic-pumps/,-0.049
casappa hydraulic motor,50,1.16,1,Product research,"Hydraulic Motors",5,4,B,dedicated,/brands/casappa/hydraulic-motors/,"casappa ? motor","Optimize existing page",/brands/casappa/hydraulic-motors/,-0.094
casappa hydraulic valve,0,0,0,Product research,"Hydraulic Valves",5,4,C,brand-category-gap,/products/hydraulic-valves/,"casappa ? valve","Create brand?category page",/brands/casappa/valve/,0.000
casappa replacement,0,0,0,Commercial,"Replacement & Cross-reference",2,1,D,body-partial,/brands/casappa/,,"Optimize title/H1",/brands/casappa/,0.000
casappa parts,10,0,0.62,Commercial,"Brand Coverage",2,1,D,brand-category-gap,/brands/casappa/,"casappa ? parts","Create brand?category page",/brands/casappa/parts/,-0.077
hydac hydraulic pump,30,0.67,0.73,Product research,"Hydraulic Pumps",5,4,B,brand-category-gap,/products/hydraulic-pumps/,"hydac ? pump","Create brand?category page",/brands/hydac/pump/,0.029
hydac hydraulic motor,10,0,1,Product research,"Hydraulic Motors",5,4,B,brand-category-gap,/products/hydraulic-motors/,"hydac ? motor","Create brand?category page",/brands/hydac/motor/,0.091
hydac hydraulic valve,0,0,0,Product research,"Hydraulic Valves",5,4,C,dedicated,/brands/hydac/hydraulic-valves/,"hydac ? valve","Optimize existing page",/brands/hydac/hydraulic-valves/,0.000
hydac replacement,0,0,0,Commercial,"Replacement & Cross-reference",2,1,D,title-partial,/brands/hydac/,,"Optimize title/H1",/brands/hydac/,0.000
hydac parts,20,1.02,0.72,Commercial,"Brand Coverage",2,1,D,brand-category-gap,/brands/hydac/,"hydac ? parts","Create brand?category page",/brands/hydac/parts/,-0.500
caterpillar hydraulic pump,110,1.07,0.92,Product research,"Hydraulic Pumps",5,5,A,dedicated,/brands/caterpillar/hydraulic-pumps/,"caterpillar ? pump","Optimize existing page",/brands/caterpillar/hydraulic-pumps/,-0.565
caterpillar hydraulic motor,20,0,0.45,Product research,"Hydraulic Motors",5,4,B,brand-category-gap,/products/hydraulic-motors/,"caterpillar ? motor","Create brand?category page",/brands/caterpillar/motor/,0.440
caterpillar hydraulic valve,10,0,0.16,Product research,"Hydraulic Valves",5,4,B,brand-category-gap,/products/hydraulic-valves/,"caterpillar ? valve","Create brand?category page",/brands/caterpillar/valve/,-0.077
caterpillar replacement,50,0,0.19,Commercial,"Replacement & Cross-reference",2,1,D,gap,,,"Create landing page",,-0.806
caterpillar parts,18100,2.97,0.4,Commercial,"Brand Coverage",2,1,D,body-partial,/brands/caterpillar/hydraulic-repair-kits/,"caterpillar ? parts","Optimize title/H1",/brands/caterpillar/hydraulic-repair-kits/,-0.057
a10vo,10,0,0.26,Product research,"Hydraulic Pumps",5,5,B,dedicated,/series/a10vo/,,"Optimize existing page",/series/a10vo/,-0.077
a10vo replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,body-partial,/series/a10vo/,,"Optimize title/H1",/series/a10vo/,0.000
a10vo supplier,0,0,0,Transactional,"Hydraulic Pumps",5,5,B,body-partial,/series/a10vo/,,"Optimize title/H1",/series/a10vo/,0.000
a10vo parts,0,0,0,Commercial,"Hydraulic Pumps",5,5,B,body-partial,/series/a10vo/,,"Optimize title/H1",/series/a10vo/,0.000
a10vo seal kit,0,0,0,Commercial,"Repair Kits & Service Parts",5,5,B,unmentioned,/series/a10vo/,,"Add keyword coverage + internal links",/series/a10vo/,0.000
a10vo equivalent,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/series/a10vo/,,"Add keyword coverage + internal links",/series/a10vo/,0.000
a10vso,30,0,0.68,Product research,"Hydraulic Pumps",5,5,B,dedicated,/models/bosch-rexroth-a10vso18-drg-31r-vpa12n00/,,"Optimize existing page",/models/bosch-rexroth-a10vso18-drg-31r-vpa12n00/,-0.368
a10vso replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,C,body-only,/models/bosch-rexroth-a10vso18-drg-31r-vpa12n00/,,"Optimize title/H1",/models/bosch-rexroth-a10vso18-drg-31r-vpa12n00/,0.000
a10vso supplier,0,0,0,Transactional,"Hydraulic Pumps",5,5,B,unmentioned,/models/bosch-rexroth-a10vso18-drg-31r-vpa12n00/,,"Add keyword coverage + internal links",/models/bosch-rexroth-a10vso18-drg-31r-vpa12n00/,0.000
a10vso parts,0,0,0,Commercial,"Hydraulic Pumps",5,5,B,body-partial,/models/bosch-rexroth-a10vso18-drg-31r-vpa12n00/,,"Optimize title/H1",/models/bosch-rexroth-a10vso18-drg-31r-vpa12n00/,0.000
a10vso seal kit,0,0,0,Commercial,"Repair Kits & Service Parts",5,5,B,body-partial,/models/bosch-rexroth-a10vso18-drg-31r-vpa12n00/,,"Optimize title/H1",/models/bosch-rexroth-a10vso18-drg-31r-vpa12n00/,0.000
a10vso equivalent,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/models/bosch-rexroth-a10vso18-drg-31r-vpa12n00/,,"Add keyword coverage + internal links",/models/bosch-rexroth-a10vso18-drg-31r-vpa12n00/,0.000
a4vso,10,0,0.45,Product research,"Hydraulic Pumps",5,5,B,dedicated,/series/a4vso/,,"Optimize existing page",/series/a4vso/,-0.333
a4vso replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,body-partial,/series/a4vso/,,"Optimize title/H1",/series/a4vso/,0.000
a4vso supplier,0,0,0,Transactional,"Hydraulic Pumps",5,5,B,body-partial,/series/a4vso/,,"Optimize title/H1",/series/a4vso/,0.000
a4vso parts,0,0,0,Commercial,"Hydraulic Pumps",5,5,B,body-partial,/series/a4vso/,,"Optimize title/H1",/series/a4vso/,0.000
a4vso seal kit,0,0,0,Commercial,"Repair Kits & Service Parts",5,5,B,unmentioned,/series/a4vso/,,"Add keyword coverage + internal links",/series/a4vso/,0.000
a4vso equivalent,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/series/a4vso/,,"Add keyword coverage + internal links",/series/a4vso/,0.000
aa10vo,0,0,0,Product research,"Technical / Other",5,5,C,dedicated,/series/aa10vo/,,"Optimize existing page",/series/aa10vo/,0.000
aa10vo replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,body-partial,/series/aa10vo/,,"Optimize title/H1",/series/aa10vo/,0.000
aa10vo supplier,0,0,0,Transactional,"Technical / Other",5,5,B,body-partial,/series/aa10vo/,,"Optimize title/H1",/series/aa10vo/,0.000
aa10vo parts,0,0,0,Commercial,"Technical / Other",5,5,B,body-partial,/series/aa10vo/,,"Optimize title/H1",/series/aa10vo/,0.000
aa10vo seal kit,0,0,0,Commercial,"Repair Kits & Service Parts",5,5,B,unmentioned,/series/aa10vo/,,"Add keyword coverage + internal links",/series/aa10vo/,0.000
aa10vo equivalent,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/series/aa10vo/,,"Add keyword coverage + internal links",/series/aa10vo/,0.000
aa10vso,10,0,0.34,Product research,"Technical / Other",5,5,B,dedicated,/series/aa10vso/,,"Optimize existing page",/series/aa10vso/,-0.077
aa10vso replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,body-partial,/series/aa10vso/,,"Optimize title/H1",/series/aa10vso/,0.000
aa10vso supplier,0,0,0,Transactional,"Technical / Other",5,5,B,body-partial,/series/aa10vso/,,"Optimize title/H1",/series/aa10vso/,0.000
aa10vso parts,0,0,0,Commercial,"Technical / Other",5,5,B,body-partial,/series/aa10vso/,,"Optimize title/H1",/series/aa10vso/,0.000
aa10vso seal kit,0,0,0,Commercial,"Repair Kits & Service Parts",5,5,B,unmentioned,/series/aa10vso/,,"Add keyword coverage + internal links",/series/aa10vso/,0.000
aa10vso equivalent,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/series/aa10vso/,,"Add keyword coverage + internal links",/series/aa10vso/,0.000
a4vg,10,0,0.05,Product research,"Hydraulic Pumps",5,5,B,dedicated,/series/a4vg/,,"Optimize existing page",/series/a4vg/,-0.250
a4vg replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/series/a4vg/,,"Add keyword coverage + internal links",/series/a4vg/,0.000
a4vg supplier,0,0,0,Transactional,"Hydraulic Pumps",5,5,B,body-partial,/series/a4vg/,,"Optimize title/H1",/series/a4vg/,0.000
a4vg parts,0,0,0,Commercial,"Hydraulic Pumps",5,5,B,body-partial,/series/a4vg/,,"Optimize title/H1",/series/a4vg/,0.000
a4vg seal kit,0,0,0,Commercial,"Repair Kits & Service Parts",5,5,B,body-partial,/series/a4vg/,,"Optimize title/H1",/series/a4vg/,0.000
a4vg equivalent,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/series/a4vg/,,"Add keyword coverage + internal links",/series/a4vg/,0.000
a10v,10,0,0.21,Product research,"Hydraulic Pumps",1,1,D,excluded,/series/a10v/,,"Exclude / qualify",,0.412
a10v replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/series/a10v/,,"Add keyword coverage + internal links",/series/a10v/,0.000
a10v supplier,0,0,0,Transactional,"Hydraulic Pumps",5,5,B,body-partial,/series/a10v/,,"Optimize title/H1",/series/a10v/,0.000
a10v parts,0,0,0,Commercial,"Hydraulic Pumps",5,5,B,body-partial,/series/a10v/,,"Optimize title/H1",/series/a10v/,0.000
a10v seal kit,0,0,0,Commercial,"Repair Kits & Service Parts",5,5,B,body-partial,/series/a10v/,,"Optimize title/H1",/series/a10v/,0.000
a10v equivalent,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/series/a10v/,,"Add keyword coverage + internal links",/series/a10v/,0.000
ap2d,0,0,0,Product research,"Technical / Other",1,1,D,excluded,/series/ap2d/,,"Exclude / qualify",,0.000
ap2d replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/series/ap2d/,,"Add keyword coverage + internal links",/series/ap2d/,0.000
ap2d supplier,0,0,0,Transactional,"Technical / Other",5,5,B,body-partial,/series/ap2d/,,"Optimize title/H1",/series/ap2d/,0.000
ap2d parts,0,0,0,Commercial,"Technical / Other",5,5,B,body-partial,/series/ap2d/,,"Optimize title/H1",/series/ap2d/,0.000
ap2d seal kit,0,0,0,Commercial,"Repair Kits & Service Parts",5,5,B,body-partial,/series/ap2d/,,"Optimize title/H1",/series/ap2d/,0.000
ap2d equivalent,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/series/ap2d/,,"Add keyword coverage + internal links",/series/ap2d/,0.000
pvh,8100,0,0.01,Product research,"Hydraulic Pumps",1,1,D,excluded,/series/pvh/,,"Exclude / qualify",,-0.120
pvh replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/series/pvh/,,"Add keyword coverage + internal links",/series/pvh/,0.000
pvh supplier,0,0,0,Transactional,"Hydraulic Pumps",5,5,B,body-partial,/series/pvh/,,"Optimize title/H1",/series/pvh/,0.000
pvh parts,0,0,0,Commercial,"Hydraulic Pumps",5,5,B,body-partial,/series/pvh/,,"Optimize title/H1",/series/pvh/,0.000
pvh seal kit,0,0,0,Commercial,"Repair Kits & Service Parts",5,5,B,body-partial,/series/pvh/,,"Optimize title/H1",/series/pvh/,0.000
pvh equivalent,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/series/pvh/,,"Add keyword coverage + internal links",/series/pvh/,0.000
mcr,60500,0.53,0.05,Product research,"Hydraulic Motors",1,1,D,excluded,/series/mcr/,,"Exclude / qualify",,-0.324
mcr replacement,260,2.19,0.19,Commercial,"Replacement & Cross-reference",5,5,A,dedicated,/series/mcr/,,"Optimize existing page",/series/mcr/,-0.320
mcr supplier,0,0,0,Transactional,"Hydraulic Motors",5,5,B,body-partial,/series/mcr/,,"Optimize title/H1",/series/mcr/,0.000
mcr parts,10,0,0,Commercial,"Hydraulic Motors",5,5,B,body-partial,/series/mcr/,,"Optimize title/H1",/series/mcr/,0.000
mcr seal kit,0,0,0,Commercial,"Repair Kits & Service Parts",5,5,B,title-partial,/series/mcr/,,"Optimize title/H1",/series/mcr/,0.000
mcr equivalent,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/series/mcr/,,"Add keyword coverage + internal links",/series/mcr/,0.000
t6dc,20,0,0.41,Product research,"Hydraulic Pumps",5,5,B,dedicated,/series/t6dc/,,"Optimize existing page",/series/t6dc/,-0.172
t6dc replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/series/t6dc/,,"Add keyword coverage + internal links",/series/t6dc/,0.000
t6dc supplier,0,0,0,Transactional,"Hydraulic Pumps",5,5,B,body-partial,/series/t6dc/,,"Optimize title/H1",/series/t6dc/,0.000
t6dc parts,0,0,0,Commercial,"Hydraulic Pumps",5,5,B,body-partial,/series/t6dc/,,"Optimize title/H1",/series/t6dc/,0.000
t6dc seal kit,0,0,0,Commercial,"Repair Kits & Service Parts",5,5,B,body-partial,/series/t6dc/,,"Optimize title/H1",/series/t6dc/,0.000
t6dc equivalent,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/series/t6dc/,,"Add keyword coverage + internal links",/series/t6dc/,0.000
t6cc,10,0,0.36,Product research,"Hydraulic Pumps",5,5,B,dedicated,/series/t6cc/,,"Optimize existing page",/series/t6cc/,-0.143
t6cc replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,body-partial,/series/t6cc/,,"Optimize title/H1",/series/t6cc/,0.000
t6cc supplier,0,0,0,Transactional,"Hydraulic Pumps",5,5,B,body-partial,/series/t6cc/,,"Optimize title/H1",/series/t6cc/,0.000
t6cc parts,0,0,0,Commercial,"Hydraulic Pumps",5,5,B,body-partial,/series/t6cc/,,"Optimize title/H1",/series/t6cc/,0.000
t6cc seal kit,0,0,0,Commercial,"Repair Kits & Service Parts",5,5,B,body-partial,/series/t6cc/,,"Optimize title/H1",/series/t6cc/,0.000
t6cc equivalent,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/series/t6cc/,,"Add keyword coverage + internal links",/series/t6cc/,0.000
t6ccm,10,0,0.71,Product research,"Hydraulic Pumps",5,5,B,dedicated,/series/t6ccm/,,"Optimize existing page",/series/t6ccm/,0.000
t6ccm replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,body-partial,/series/t6ccm/,,"Optimize title/H1",/series/t6ccm/,0.000
t6ccm supplier,0,0,0,Transactional,"Hydraulic Pumps",5,5,B,body-partial,/series/t6ccm/,,"Optimize title/H1",/series/t6ccm/,0.000
t6ccm parts,0,0,0,Commercial,"Hydraulic Pumps",5,5,B,body-partial,/series/t6ccm/,,"Optimize title/H1",/series/t6ccm/,0.000
t6ccm seal kit,0,0,0,Commercial,"Repair Kits & Service Parts",5,5,B,body-partial,/series/t6ccm/,,"Optimize title/H1",/series/t6ccm/,0.000
t6ccm equivalent,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/series/t6ccm/,,"Add keyword coverage + internal links",/series/t6ccm/,0.000
t5d,30,0,0.05,Product research,"Technical / Other",1,1,D,excluded,/series/t5d/,,"Exclude / qualify",,0.231
t5d replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,body-partial,/series/t5d/,,"Optimize title/H1",/series/t5d/,0.000
t5d supplier,0,0,0,Transactional,"Technical / Other",5,5,B,body-partial,/series/t5d/,,"Optimize title/H1",/series/t5d/,0.000
t5d parts,0,0,0,Commercial,"Technical / Other",5,5,B,body-partial,/series/t5d/,,"Optimize title/H1",/series/t5d/,0.000
t5d seal kit,0,0,0,Commercial,"Repair Kits & Service Parts",5,5,B,body-partial,/series/t5d/,,"Optimize title/H1",/series/t5d/,0.000
t5d equivalent,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/series/t5d/,,"Add keyword coverage + internal links",/series/t5d/,0.000
m1d,390,0,0,Product research,"Hydraulic Motors",1,1,D,excluded,/series/m1d/,,"Exclude / qualify",,-0.256
m1d replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/series/m1d/,,"Add keyword coverage + internal links",/series/m1d/,0.000
m1d supplier,0,0,0,Transactional,"Hydraulic Motors",5,5,B,body-partial,/series/m1d/,,"Optimize title/H1",/series/m1d/,0.000
m1d parts,10,0,0,Commercial,"Hydraulic Motors",5,5,B,body-partial,/series/m1d/,,"Optimize title/H1",/series/m1d/,-1.000
